"lag","cause","exposure","analysis","exposure_change","central.est","ll.est","ul.est"
1,"suicide","tmean","ohio_valley",10,0.113293797567655,0.0174059026889758,0.209181692446334
1,"All_violence","tmean","south",0,0,0,0
1,"All_violence","tmean","south",1,0.00231875780200322,-0.000349663104985626,0.00498717870899207
1,"All_violence","tmean","south",5,0.0115937890100161,-0.00174831552492812,0.0249358935449603
1,"All_violence","tmean","south",10,0.0231875780200322,-0.00349663104985625,0.0498717870899206
1,"assault","tmean","south",0,0,0,0
1,"assault","tmean","south",1,0.00253049113071707,-0.000121208390560861,0.00518219065199501
1,"assault","tmean","south",5,0.0126524556535853,-0.000606041952804301,0.025910953259975
1,"assault","tmean","south",10,0.0253049113071707,-0.0012120839056086,0.0518219065199501
1,"suicide","tmean","south",0,0,0,0
1,"suicide","tmean","south",1,-0.00244503612373748,-0.0149365284571077,0.0100464562096328
1,"suicide","tmean","south",5,-0.0122251806186874,-0.0746826422855386,0.0502322810481638
1,"suicide","tmean","south",10,-0.0244503612373748,-0.149365284571077,0.100464562096327
1,"All_violence","tmean","southeast",0,0,0,0
1,"All_violence","tmean","southeast",1,0.00391782565755155,0.00192435454960052,0.00591129676550257
1,"All_violence","tmean","southeast",5,0.0195891282877577,0.00962177274800259,0.0295564838275128
1,"All_violence","tmean","southeast",10,0.0391782565755155,0.0192435454960052,0.0591129676550257
1,"assault","tmean","southeast",0,0,0,0
1,"assault","tmean","southeast",1,0.00343780444215935,0.00138814898564294,0.00548745989867576
1,"assault","tmean","southeast",5,0.0171890222107967,0.0069407449282147,0.0274372994933787
1,"assault","tmean","southeast",10,0.0343780444215935,0.0138814898564294,0.0548745989867576
1,"suicide","tmean","southeast",0,0,0,0
1,"suicide","tmean","southeast",1,0.00781781785421194,0.00108896624859805,0.0145466694598258
1,"suicide","tmean","southeast",5,0.0390890892710597,0.00544483124299023,0.0727333472991291
1,"suicide","tmean","southeast",10,0.0781781785421193,0.0108896624859805,0.145466694598258
1,"All_violence","tmean","southwest",0,0,0,0
1,"All_violence","tmean","southwest",1,0.00515628870274564,-0.00152109780827807,0.0118336752137693
1,"All_violence","tmean","southwest",5,0.0257814435137281,-0.00760548904139034,0.0591683760688466
1,"All_violence","tmean","southwest",10,0.0515628870274563,-0.0152109780827807,0.118336752137693
1,"assault","tmean","southwest",0,0,0,0
1,"assault","tmean","southwest",1,0.00265867276345543,-0.00382209883253191,0.00913944435944277
1,"assault","tmean","southwest",5,0.0132933638172771,-0.0191104941626595,0.0456972217972138
1,"assault","tmean","southwest",10,0.0265867276345543,-0.038220988325319,0.0913944435944277
1,"suicide","tmean","southwest",0,0,0,0
1,"suicide","tmean","southwest",1,0.0373191586077626,0.00307299792409882,0.0715653192914263
1,"suicide","tmean","southwest",5,0.186595793038813,0.0153649896204941,0.357826596457132
1,"suicide","tmean","southwest",10,0.373191586077625,0.0307299792409882,0.715653192914263
1,"All_violence","tmean","upper_midwest",0,0,0,0
1,"All_violence","tmean","upper_midwest",1,0.00226819013197223,-0.00102792730611701,0.00556430757006147
1,"All_violence","tmean","upper_midwest",5,0.0113409506598611,-0.00513963653058505,0.0278215378503073
1,"All_violence","tmean","upper_midwest",10,0.0226819013197223,-0.0102792730611701,0.0556430757006146
1,"assault","tmean","upper_midwest",0,0,0,0
1,"assault","tmean","upper_midwest",1,0.00217442009275476,-0.00114118690660819,0.00549002709211771
1,"assault","tmean","upper_midwest",5,0.0108721004637738,-0.00570593453304092,0.0274501354605885
1,"assault","tmean","upper_midwest",10,0.0217442009275476,-0.0114118690660819,0.0549002709211771
1,"suicide","tmean","upper_midwest",0,0,0,0
1,"suicide","tmean","upper_midwest",1,0.0136267377387659,-0.00285204404442893,0.0301055195219608
1,"suicide","tmean","upper_midwest",5,0.0681336886938296,-0.0142602202221447,0.150527597609804
1,"suicide","tmean","upper_midwest",10,0.136267377387659,-0.0285204404442893,0.301055195219608
1,"All_violence","tmean","west",0,0,0,0
1,"All_violence","tmean","west",1,-0.000774021903630882,-0.0097175009647549,0.00816945715749314
1,"All_violence","tmean","west",5,-0.0038701095181544,-0.0485875048237744,0.0408472857874656
1,"All_violence","tmean","west",10,-0.00774021903630881,-0.097175009647549,0.0816945715749314
1,"assault","tmean","west",0,0,0,0
1,"assault","tmean","west",1,0.000650869666212697,-0.00820748293436964,0.00950922226679504
1,"assault","tmean","west",5,0.00325434833106348,-0.0410374146718481,0.0475461113339751
1,"assault","tmean","west",10,0.00650869666212698,-0.0820748293436964,0.0950922226679503
1,"suicide","tmean","west",0,0,0,0
1,"suicide","tmean","west",1,0.0360619878478279,-0.0338952085037425,0.106019184199398
1,"suicide","tmean","west",5,0.18030993923914,-0.169476042518713,0.530095920996992
1,"suicide","tmean","west",10,0.360619878478279,-0.338952085037425,1.06019184199398
1,"All_violence","tmean","poverty1",0,0,0,0
1,"All_violence","tmean","poverty1",1,0.00141072657249668,-0.00280265403662232,0.00562410718161568
1,"All_violence","tmean","poverty1",5,0.00705363286248338,-0.0140132701831116,0.0281205359080784
1,"All_violence","tmean","poverty1",10,0.0141072657249668,-0.0280265403662232,0.0562410718161568
1,"assault","tmean","poverty1",0,0,0,0
1,"assault","tmean","poverty1",1,0.00170146714124125,-0.00252988269181177,0.00593281697429427
1,"assault","tmean","poverty1",5,0.00850733570620623,-0.0126494134590588,0.0296640848714713
1,"assault","tmean","poverty1",10,0.0170146714124125,-0.0252988269181177,0.0593281697429427
1,"suicide","tmean","poverty1",0,0,0,0
1,"suicide","tmean","poverty1",1,6.8143046578922e-05,-0.0133155531033572,0.013451839196515
1,"suicide","tmean","poverty1",5,0.000340715232894605,-0.0665777655167859,0.0672591959825751
1,"suicide","tmean","poverty1",10,0.000681430465789216,-0.133155531033572,0.13451839196515
1,"All_violence","tmean","poverty2",0,0,0,0
1,"All_violence","tmean","poverty2",1,0.0026913008962154,-0.00028007871626727,0.00566268050869807
1,"All_violence","tmean","poverty2",5,0.013456504481077,-0.00140039358133635,0.0283134025434903
1,"All_violence","tmean","poverty2",10,0.026913008962154,-0.00280078716267268,0.0566268050869806
1,"assault","tmean","poverty2",0,0,0,0
1,"assault","tmean","poverty2",1,0.00309133607258083,9.67518552465151e-05,0.00608592028991514
1,"assault","tmean","poverty2",5,0.0154566803629041,0.00048375927623258,0.0304296014495756
