"lag","cause","exposure","analysis","exposure_change","central.est","ll.est","ul.est"
6,"suicide","tmean","southeast",1,0.0123070977496361,0.00474864039497214,0.0198655551043
6,"suicide","tmean","southeast",5,0.0615354887481804,0.0237432019748607,0.0993277755215001
6,"suicide","tmean","southeast",10,0.123070977496361,0.0474864039497213,0.198655551043
6,"All_violence","tmean","southwest",0,0,0,0
6,"All_violence","tmean","southwest",1,-0.000995002393928529,-0.0076282318925584,0.00563822710470135
6,"All_violence","tmean","southwest",5,-0.00497501196964263,-0.038141159462792,0.0281911355235067
6,"All_violence","tmean","southwest",10,-0.00995002393928528,-0.0762823189255841,0.0563822710470135
6,"assault","tmean","southwest",0,0,0,0
6,"assault","tmean","southwest",1,-0.00210790290829331,-0.00856003209413203,0.00434422627754541
6,"assault","tmean","southwest",5,-0.0105395145414665,-0.0428001604706601,0.021721131387727
6,"assault","tmean","southwest",10,-0.0210790290829331,-0.0856003209413203,0.0434422627754541
6,"suicide","tmean","southwest",0,0,0,0
6,"suicide","tmean","southwest",1,0.0361141526899094,0.00276517775035881,0.06946312762946
6,"suicide","tmean","southwest",5,0.180570763449547,0.0138258887517944,0.3473156381473
6,"suicide","tmean","southwest",10,0.361141526899094,0.0276517775035887,0.694631276294599
6,"All_violence","tmean","upper_midwest",0,0,0,0
6,"All_violence","tmean","upper_midwest",1,0.00138894479605154,-0.00194246096840153,0.00472035056050462
6,"All_violence","tmean","upper_midwest",5,0.00694472398025771,-0.00971230484200764,0.0236017528025231
6,"All_violence","tmean","upper_midwest",10,0.0138894479605154,-0.0194246096840153,0.0472035056050462
6,"assault","tmean","upper_midwest",0,0,0,0
6,"assault","tmean","upper_midwest",1,0.00127019937694932,-0.0020838974247193,0.00462429617861795
6,"assault","tmean","upper_midwest",5,0.00635099688474662,-0.0104194871235965,0.0231214808930897
6,"assault","tmean","upper_midwest",10,0.0127019937694932,-0.020838974247193,0.0462429617861795
6,"suicide","tmean","upper_midwest",0,0,0,0
6,"suicide","tmean","upper_midwest",1,0.0139094265009702,-0.00255582841205002,0.0303746814139905
6,"suicide","tmean","upper_midwest",5,0.0695471325048512,-0.0127791420602501,0.151873407069952
6,"suicide","tmean","upper_midwest",10,0.139094265009702,-0.0255582841205,0.303746814139905
6,"All_violence","tmean","west",0,0,0,0
6,"All_violence","tmean","west",1,0.00432808083281155,-0.00403627350286743,0.0126924351684905
6,"All_violence","tmean","west",5,0.0216404041640577,-0.0201813675143372,0.0634621758424527
6,"All_violence","tmean","west",10,0.0432808083281155,-0.0403627350286744,0.126924351684905
6,"assault","tmean","west",0,0,0,0
6,"assault","tmean","west",1,0.00546186736365376,-0.00282255855368999,0.0137462932809975
6,"assault","tmean","west",5,0.0273093368182687,-0.01411279276845,0.0687314664049874
6,"assault","tmean","west",10,0.0546186736365375,-0.0282255855368999,0.137462932809975
6,"suicide","tmean","west",0,0,0,0
6,"suicide","tmean","west",1,-0.0254853245369464,-0.0810527215283093,0.0300820724544165
6,"suicide","tmean","west",5,-0.127426622684732,-0.405263607641547,0.150410362272083
6,"suicide","tmean","west",10,-0.254853245369464,-0.810527215283093,0.300820724544165
6,"All_violence","tmean","poverty1",0,0,0,0
6,"All_violence","tmean","poverty1",1,0.00499519714775789,0.000448573258108592,0.00954182103740719
6,"All_violence","tmean","poverty1",5,0.0249759857387894,0.00224286629054299,0.0477091051870358
6,"All_violence","tmean","poverty1",10,0.0499519714775789,0.00448573258108596,0.0954182103740719
6,"assault","tmean","poverty1",0,0,0,0
6,"assault","tmean","poverty1",1,0.0049875764560251,0.000413134811765403,0.00956201810028479
6,"assault","tmean","poverty1",5,0.0249378822801254,0.00206567405882704,0.0478100905014238
6,"assault","tmean","poverty1",10,0.049875764560251,0.00413134811765405,0.0956201810028479
6,"suicide","tmean","poverty1",0,0,0,0
6,"suicide","tmean","poverty1",1,0.00731429967932424,-0.00728940203128947,0.0219180013899379
6,"suicide","tmean","poverty1",5,0.0365714983966212,-0.0364470101564473,0.10959000694969
6,"suicide","tmean","poverty1",10,0.0731429967932423,-0.0728940203128946,0.219180013899379
6,"All_violence","tmean","poverty2",0,0,0,0
6,"All_violence","tmean","poverty2",1,0.00245305061247014,-0.00072768352175134,0.00563378474669161
6,"All_violence","tmean","poverty2",5,0.0122652530623507,-0.00363841760875671,0.028168923733458
6,"All_violence","tmean","poverty2",10,0.0245305061247013,-0.00727683521751344,0.0563378474669161
6,"assault","tmean","poverty2",0,0,0,0
6,"assault","tmean","poverty2",1,0.00254150954790677,-0.000658096057984169,0.00574111515379771
6,"assault","tmean","poverty2",5,0.0127075477395338,-0.00329048028992086,0.0287055757689885
6,"assault","tmean","poverty2",10,0.0254150954790677,-0.00658096057984167,0.0574111515379771
6,"suicide","tmean","poverty2",0,0,0,0
6,"suicide","tmean","poverty2",1,0.00684243831003476,-0.00653153154567172,0.0202164081657413
6,"suicide","tmean","poverty2",5,0.0342121915501738,-0.0326576577283585,0.101082040828706
6,"suicide","tmean","poverty2",10,0.0684243831003477,-0.065315315456717,0.202164081657412
6,"All_violence","tmean","poverty3",0,0,0,0
6,"All_violence","tmean","poverty3",1,0.00374896600081794,0.00107778261788105,0.00642014938375484
6,"All_violence","tmean","poverty3",5,0.0187448300040897,0.00538891308940527,0.0321007469187741
6,"All_violence","tmean","poverty3",10,0.0374896600081794,0.0107778261788105,0.0642014938375483
6,"assault","tmean","poverty3",0,0,0,0
6,"assault","tmean","poverty3",1,0.00341453398424787,0.000727783739288518,0.00610128422920723
6,"assault","tmean","poverty3",5,0.0170726699212393,0.00363891869644261,0.030506421146036
6,"assault","tmean","poverty3",10,0.0341453398424787,0.00727783739288516,0.0610128422920722
6,"suicide","tmean","poverty3",0,0,0,0
6,"suicide","tmean","poverty3",1,0.00787504247156273,-0.00497399375771657,0.020724078700842
6,"suicide","tmean","poverty3",5,0.0393752123578136,-0.0248699687885829,0.10362039350421
6,"suicide","tmean","poverty3",10,0.0787504247156272,-0.0497399375771659,0.20724078700842
6,"All_violence","tmean","poverty4",0,0,0,0
6,"All_violence","tmean","poverty4",1,0.00720717106215818,0.00451198690915186,0.0099023552151645
6,"All_violence","tmean","poverty4",5,0.0360358553107908,0.0225599345457593,0.0495117760758224
6,"All_violence","tmean","poverty4",10,0.0720717106215818,0.0451198690915185,0.0990235521516451
6,"assault","tmean","poverty4",0,0,0,0
6,"assault","tmean","poverty4",1,0.006342745710426,0.00364562241662577,0.00903986900422622
6,"assault","tmean","poverty4",5,0.0317137285521299,0.0182281120831288,0.045199345021131
6,"assault","tmean","poverty4",10,0.06342745710426,0.0364562241662577,0.0903986900422622
6,"suicide","tmean","poverty4",0,0,0,0
6,"suicide","tmean","poverty4",1,0.0110608676230527,-0.00253283131952531,0.0246545665656307
6,"suicide","tmean","poverty4",5,0.0553043381152634,-0.0126641565976264,0.123272832828153
6,"suicide","tmean","poverty4",10,0.110608676230527,-0.025328313195253,0.246545665656306
6,"All_violence","tmean","poverty5",0,0,0,0
6,"All_violence","tmean","poverty5",1,0.0058854513130938,0.00337152025602881,0.00839938237015879
6,"All_violence","tmean","poverty5",5,0.0294272565654689,0.016857601280144,0.0419969118507939
6,"All_violence","tmean","poverty5",10,0.058854513130938,0.0337152025602881,0.0839938237015878
6,"assault","tmean","poverty5",0,0,0,0
6,"assault","tmean","poverty5",1,0.00572940055270293,0.00321554231762782,0.00824325878777804
6,"assault","tmean","poverty5",5,0.0286470027635146,0.016077711588139,0.0412162939388901
6,"assault","tmean","poverty5",10,0.0572940055270292,0.0321554231762781,0.0824325878777803
6,"suicide","tmean","poverty5",0,0,0,0
6,"suicide","tmean","poverty5",1,0.00222993505828222,-0.0120968841592671,0.0165567542758315
6,"suicide","tmean","poverty5",5,0.0111496752914111,-0.0604844207963354,0.0827837713791577
